Kategoria,Data,Suma jm.,Suma jm. PLN,Suma jm. EUR,Suma jm. USD,Wartość suma w PLN,Wartość PLN,Wartość EUR,Wartość USD,"Wartość EUR, PLN",Kurs euro
wydruk vario klasyczne kształty,20230701,58,49,9,,51251,43381,1772,,"7 656,27 zł","4,32 zł"
wydruk vario klasyczne kształty,20230801,147,89,58,,111384,81830,6643,,"28 702,38 zł","4,32 zł"
wydruk vario klasyczne kształty,20230901,161,127,34,,138037,107857,6568,,"28 378,32 zł","4,32 zł"
wydruk vario klasyczne kształty,20231001,162,107,55,,143932,100022,9737,,"42 070,61 zł","4,32 zł"
wydruk vario klasyczne kształty,20231101,136,119,17,,113609,102523,2505,,"10 823,34 zł","4,32 zł"
wydruk vario klasyczne kształty,20231201,77,67,10,,59167,52231,1601,,"6 917,43 zł","4,32 zł"
wydruk vario light,20240101,258,102,156,,145453,61321,19290,,"83 346,21 zł","4,32 zł"
wydruk vario light,20230101,266,100,166,,108266,41620,14179,,"61 263,13 zł","4,32 zł"
wydruk vario light,20230201,220,102,118,,112921,46245,14045,,"60 684,16 zł","4,32 zł"
wydruk vario light,20240201,315,136,179,,172821,73163,23033,,"99 518,57 zł","4,32 zł"
wydruk vario light,20230301,375,176,199,,187495,86092,21606,,"93 352,94 zł","4,32 zł"
wydruk vario light,20230401,255,80,175,,118275,37238,17504,,"75 629,45 zł","4,32 zł"
wydruk vario light,20230501,306,123,183,,150358,60984,19692,,"85 083,13 zł","4,32 zł"
wydruk vario light,20230601,221,126,95,,106743,59165,10652,,"46 024,04 zł","4,32 zł"
wydruk vario light,20230701,240,59,181,,111035,34886,17125,,"73 991,90 zł","4,32 zł"
wydruk vario light,20230801,252,104,148,,113344,53421,13447,,"58 100,39 zł","4,32 zł"
wydruk vario light,20230901,322,167,155,,157301,77232,17449,,"75 391,81 zł","4,32 zł"
wydruk vario light,20231001,576,363,213,,232708,122227,24420,,"105 511,37 zł","4,32 zł"
wydruk vario light,20231101,495,219,276,,210542,104696,24005,,"103 718,28 zł","4,32 zł"
wydruk vario light,20231201,191,123,68,,100836,69277,7285,,"31 476,26 zł","4,32 zł"
wydruk vario podwieszane,20240101,2,1,1,,1783,881,206,,"890,06 zł","4,32 zł"
wydruk vario podwieszane,20230101,2,,2,,2993,,637,,"2 752,28 zł","4,32 zł"
wydruk vario podwieszane,20230201,6,2,4,,7144,1953,1100,,"4 752,76 zł","4,32 zł"
wydruk vario podwieszane,20240201,4,3,1,,5599,4087,350,,"1 512,24 zł","4,32 zł"
wydruk vario podwieszane,20230301,5,,5,,7229,,1540,,"6 653,87 zł","4,32 zł"
wydruk vario podwieszane,20230401,3,1,2,,4427,1499,636,,"2 747,96 zł","4,32 zł"
wydruk vario podwieszane,20230601,1,,1,,1422,,318,,"1 373,98 zł","4,32 zł"
wydruk vario podwieszane,20230801,2,,2,,4495,,1005,,"4 342,30 zł","4,32 zł"
wydruk vario podwieszane,20230901,13,3,10,,19671,3599,3457,,"14 936,64 zł","4,32 zł"
wydruk vario podwieszane,20231001,6,1,5,,9253,1402,1751,,"7 565,54 zł","4,32 zł"
zabudowy akcesoria,20240101,4,,4,,534,,122,,"527,12 zł","4,32 zł"
zabudowy akcesoria,20230101,26,25,1,,894,800,20,,"86,41 zł","4,32 zł"
zabudowy akcesoria,20230201,21,20,1,,937,800,29,,"125,30 zł","4,32 zł"
zabudowy akcesoria,20240201,47,44,3,,5567,1640,904,,"3 905,91 zł","4,32 zł"
zabudowy akcesoria,20230301,31,29,2,,4585,3447,242,,"1 045,61 zł","4,32 zł"
zabudowy akcesoria,20230401,59,3,56,,3091,448,571,,"2 467,12 zł","4,32 zł"
zabudowy akcesoria,20230501,5,5,,,571,571,,,"0,00 zł","4,32 zł"
zabudowy akcesoria,20230701,1,1,,,153,153,,,"0,00 zł","4,32 zł"
zabudowy akcesoria,20230801,1,,1,,3344,,747,,"3 227,56 zł","4,32 zł"
zabudowy akcesoria,20230901,47,44,3,,2386,1983,87,,"375,90 zł","4,32 zł"
zabudowy akcesoria,20231001,113,107,6,,6027,5095,210,,"907,35 zł","4,32 zł"
zabudowy akcesoria,20231101,39,39,,,1867,1867,,,"0,00 zł","4,32 zł"
zabudowy foldable,20240101,5,2,3,,9111,7649,336,,"1 451,75 zł","4,32 zł"
zabudowy foldable,20230201,4,1,3,,13313,5737,1596,,"6 895,83 zł","4,32 zł"
zabudowy foldable,20240201,8,2,6,,14429,11953,570,,"2 462,80 zł","4,32 zł"
zabudowy foldable,20230301,3,2,1,,12855,12342,110,,"475,28 zł","4,32 zł"
zabudowy foldable,20230401,8,4,4,,4309,2532,380,,"1 641,86 zł","4,32 zł"
zabudowy foldable,20230501,1,,1,,7468,,1650,,"7 129,15 zł","4,32 zł"
zabudowy foldable,20230601,15,4,11,,8475,3796,1045,,"4 515,13 zł","4,32 zł"
zabudowy foldable,20230701,15,6,9,,21775,17185,1037,,"4 480,56 zł","4,32 zł"
zabudowy foldable,20230801,25,10,15,,17503,8953,1935,,"8 360,54 zł","4,32 zł"
zabudowy foldable,20230901,38,25,13,,32564,23910,1878,,"8 114,27 zł","4,32 zł"
zabudowy foldable,20231001,14,3,11,,22669,14661,1804,,"7 794,53 zł","4,32 zł"
zabudowy foldable,20231101,7,2,5,,13310,11212,475,,"2 052,33 zł","4,32 zł"
zabudowy foldable,20231201,6,1,5,,6326,3750,595,,"2 570,81 zł","4,32 zł"
zabudowy foldable akcesoria,20240101,5,2,3,,191,100,21,,"90,73 zł","4,32 zł"
zabudowy foldable akcesoria,20230201,6,6,,,37,37,,,"0,00 zł","4,32 zł"
zabudowy foldable akcesoria,20240201,14,,14,,182,,42,,"181,47 zł","4,32 zł"
zabudowy foldable akcesoria,20230401,20,2,18,,513,118,84,,"362,94 zł","4,32 zł"
zabudowy foldable akcesoria,20230601,14,4,10,,286,152,30,,"129,62 zł","4,32 zł"
zabudowy foldable akcesoria,20230701,37,16,21,,551,356,44,,"190,11 zł","4,32 zł"
zabudowy foldable akcesoria,20230801,52,6,46,,1210,102,251,,"1 084,49 zł","4,32 zł"
zabudowy foldable akcesoria,20230901,79,32,47,,2835,544,497,,"2 147,39 zł","4,32 zł"
zabudowy foldable akcesoria,20231001,14,3,11,,345,150,44,,"190,11 zł","4,32 zł"
zabudowy foldable akcesoria,20231101,15,,15,,306,,69,,"298,13 zł","4,32 zł"
zabudowy foldable akcesoria,20231201,7,,7,,125,,29,,"125,30 zł","4,32 zł"
zabudowy mframe,20240101,104,26,78,,83483,21338,14186,,"61 293,38 zł","4,32 zł"
zabudowy mframe,20230101,67,43,24,,161702,135374,5593,,"24 165,65 zł","4,32 zł"
zabudowy mframe,20230201,28,20,8,,618511,377259,50774,,"219 378,97 zł","4,32 zł"
zabudowy mframe,20240201,44,29,15,,313962,284938,6687,,"28 892,49 zł","4,32 zł"
zabudowy mframe,20230301,45,34,11,,350540,306240,9430,,"40 744,15 zł","4,32 zł"
zabudowy mframe,20230401,171,87,84,,955701,859115,20831,,"90 004,40 zł","4,32 zł"
zabudowy mframe,20230501,53,43,9,1,284750,191719,17893,2840,"77 310,20 zł","4,32 zł"
zabudowy mframe,20230601,14,10,4,,226908,223455,772,,"3 335,58 zł","4,32 zł"
zabudowy mframe,20230701,3,1,,2,96817,6098,,22665,"0,00 zł","4,32 zł"
zabudowy mframe,20230801,65,60,4,1,378964,223070,24620,11200,"106 375,51 zł","4,32 zł"
zabudowy mframe,20230901,205,144,58,3,1213125,617929,31252,108279,"135 030,36 zł","4,32 zł"
zabudowy mframe,20231001,718,589,127,2,1004737,683719,31406,42759,"135 695,75 zł","4,32 zł"
zabudowy mframe,20231101,13,7,6,,259178,236681,5054,,"21 836,79 zł","4,32 zł"
zabudowy mframe,20231201,23,10,13,,62228,50550,2692,,"11 631,31 zł","4,32 zł"
zabudowy mframe akcesoria,20240101,1358,400,958,,63072,14894,10998,,"47 519,00 zł","4,32 zł"
zabudowy mframe akcesoria,20230101,925,865,60,,69248,43264,5514,,"23 824,31 zł","4,32 zł"
zabudowy mframe akcesoria,20230201,770,650,120,,15311,11841,732,,"3 162,75 zł","4,32 zł"
zabudowy mframe akcesoria,20240201,651,350,191,110,24683,13811,2100,440,"9 073,46 zł","4,32 zł"
zabudowy mframe akcesoria,20230301,594,278,316,,24499,10144,3061,,"13 225,65 zł","4,32 zł"
zabudowy mframe akcesoria,20230401,1042,744,298,,45223,27232,3880,,"16 764,30 zł","4,32 zł"
zabudowy mframe akcesoria,20230501,991,817,174,,26216,19131,1564,,"6 757,57 zł","4,32 zł"
zabudowy mframe akcesoria,20230601,525,33,492,,28259,1698,5918,,"25 569,87 zł","4,32 zł"
zabudowy mframe akcesoria,20230701,35,12,23,,1864,636,278,,"1 201,15 zł","4,32 zł"
zabudowy mframe akcesoria,20230801,861,842,19,,36286,33959,523,,"2 259,72 zł","4,32 zł"
zabudowy mframe akcesoria,20230901,6617,6098,419,100,132704,113790,3429,700,"14 815,66 zł","4,32 zł"
zabudowy mframe akcesoria,20231001,3272,2451,821,,147812,110997,8216,,"35 498,83 zł","4,32 zł"
zabudowy mframe akcesoria,20231101,829,519,110,200,22180,11924,431,2000,"1 862,22 zł","4,32 zł"
zabudowy mframe akcesoria,20231201,833,500,333,,9888,1500,1935,,"8 360,54 zł","4,32 zł"
zabudowy multiframe,20240101,12,3,9,,70818,28625,9683,,"41 837,29 zł","4,32 zł"
zabudowy multiframe,20230101,43,10,33,,214799,60438,32876,,"142 047,17 zł","4,32 zł"
zabudowy multiframe,20230201,27,7,20,,289280,182015,22530,,"97 345,26 zł","4,32 zł"
zabudowy multiframe,20240201,43,21,22,,239347,140967,22701,,"98 084,10 zł","4,32 zł"
zabudowy multiframe,20230301,41,15,26,,286996,126895,34095,,"147 314,10 zł","4,32 zł"
zabudowy multiframe,20230401,45,13,32,,286397,93709,41463,,"179 148,98 zł","4,32 zł"
zabudowy multiframe,20230501,51,34,17,,314658,233609,17928,,"77 461,42 zł","4,32 zł"
zabudowy multiframe,20230601,10,7,3,,64690,53749,2469,,"10 667,80 zł","4,32 zł"
zabudowy multiframe,20230701,19,11,8,,109364,65959,9772,,"42 221,83 zł","4,32 zł"
zabudowy multiframe,20230801,16,11,5,,159379,131971,6138,,"26 520,43 zł","4,32 zł"
zabudowy multiframe,20230901,29,7,22,,145790,38176,23506,,"101 562,26 zł","4,32 zł"
zabudowy multiframe,20231001,50,36,14,,192802,142899,10939,,"47 264,08 zł","4,32 zł"
zabudowy multiframe,20231101,27,10,17,,158219,66667,20721,,"89 529,12 zł","4,32 zł"
zabudowy multiframe,20231201,17,12,5,,92689,81300,2626,,"11 346,15 zł","4,32 zł"
zabudowy multiframe akcesoria,20240101,191,45,146,,15957,10306,1294,,"5 590,98 zł","4,32 zł"
zabudowy multiframe akcesoria,20230101,324,149,175,,47099,16455,6517,,"28 157,97 zł","4,32 zł"
zabudowy multiframe akcesoria,20230201,209,60,149,,38484,7146,6595,,"28 494,98 zł","4,32 zł"
zabudowy multiframe akcesoria,20240201,275,149,126,,32197,14448,4091,,"17 675,96 zł","4,32 zł"
zabudowy multiframe akcesoria,20230301,281,56,225,,50528,17469,7041,,"30 422,01 zł","4,32 zł"
zabudowy multiframe akcesoria,20230401,221,57,164,,48257,15102,7125,,"30 784,95 zł","4,32 zł"
zabudowy multiframe akcesoria,20230501,192,47,145,,48280,14163,7577,,"32 737,91 zł","4,32 zł"
zabudowy multiframe akcesoria,20230601,42,26,16,,5537,1507,904,,"3 905,91 zł","4,32 zł"
zabudowy multiframe akcesoria,20230701,103,50,53,,20249,12994,1632,,"7 051,37 zł","4,32 zł"
zabudowy multiframe akcesoria,20230801,113,66,47,,16727,12691,906,,"3 914,55 zł","4,32 zł"
zabudowy multiframe akcesoria,20230901,217,120,97,,39054,21219,3886,,"16 790,22 zł","4,32 zł"
zabudowy multiframe akcesoria,20231001,207,88,119,,22401,9467,2853,,"12 326,94 zł","4,32 zł"
zabudowy multiframe akcesoria,20231101,197,61,136,,34952,13332,4891,,"21 132,52 zł","4,32 zł"
zabudowy multiframe akcesoria,20231201,100,93,7,,18799,17276,351,,"1 516,56 zł","4,32 zł"
zabudowy sego,20240101,11,9,2,,31740,25025,1549,,"6 692,76 zł","4,32 zł"
zabudowy sego,20230101,1,1,,,1990,1990,,,"0,00 zł","4,32 zł"
zabudowy sego,20230201,11,,11,,20930,,4441,,"19 188,21 zł","4,32 zł"
zabudowy sego,20240201,31,30,1,,111402,108639,640,,"2 765,24 zł","4,32 zł"
zabudowy sego,20230301,24,21,3,,62078,55903,1317,,"5 690,36 zł","4,32 zł"
zabudowy sego,20230401,21,16,5,,80955,68108,2791,,"12 059,06 zł","4,32 zł"
zabudowy sego,20230501,4,4,,,13972,13972,,,"0,00 zł","4,32 zł"
zabudowy sego,20230601,11,10,1,,42351,40154,496,,"2 143,06 zł","4,32 zł"
zabudowy sego,20230701,4,4,,,10533,10533,,,"0,00 zł","4,32 zł"
zabudowy sego,20230801,19,14,5,,111940,68484,9728,,"42 031,72 zł","4,32 zł"
zabudowy sego,20230901,58,44,14,,216031,160379,12024,,"51 952,04 zł","4,32 zł"
zabudowy sego,20231001,27,24,3,,88598,78635,2166,,"9 358,63 zł","4,32 zł"
zabudowy sego,20231101,11,11,,,33016,33016,,,"0,00 zł","4,32 zł"
zabudowy sego,20231201,6,3,3,,11928,6537,1244,,"5 374,94 zł","4,32 zł"
zabudowy sego akcesoria,20240101,24,24,,,3820,3820,,,"0,00 zł","4,32 zł"
zabudowy sego akcesoria,20230201,1,1,,,466,466,,,"0,00 zł","4,32 zł"
zabudowy sego akcesoria,20240201,36,36,,,1869,1869,,,"0,00 zł","4,32 zł"
zabudowy sego akcesoria,20230301,33,28,5,,5220,4561,140,,"604,90 zł","4,32 zł"
zabudowy sego akcesoria,20230401,37,25,12,,2758,1393,292,,"1 261,64 zł","4,32 zł"
zabudowy sego akcesoria,20230601,7,7,,,280,280,,,"0,00 zł","4,32 zł"
zabudowy sego akcesoria,20230801,11,1,10,,734,466,60,,"259,24 zł","4,32 zł"
zabudowy sego akcesoria,20230901,131,69,62,,9077,4109,1075,,"4 644,75 zł","4,32 zł"
zabudowy sego akcesoria,20231001,87,73,14,,11918,8435,756,,"3 266,45 zł","4,32 zł"
zabudowy sego akcesoria,20231101,36,32,4,,3356,3338,4,,"17,28 zł","4,32 zł"
zabudowy sego akcesoria,20231201,9,9,,,3382,3382,,,"0,00 zł","4,32 zł"
zabudowy smart,20230101,11,5,6,,10282,9378,192,,"829,57 zł","4,32 zł"
zabudowy smart,20230201,5,5,,,8416,8416,,,"0,00 zł","4,32 zł"
zabudowy smart,20230301,7,5,2,,18543,18083,98,,"423,43 zł","4,32 zł"
zabudowy smart,20230401,2,,2,,352,,76,,"328,37 zł","4,32 zł"
zabudowy smart,20230501,7,7,,,1595,1595,,,"0,00 zł","4,32 zł"
zabudowy smart,20231101,6,6,,,1538,1538,,,"0,00 zł","4,32 zł"
